nm,fp,fraction
284,mcl3,0.3894737
285,mcl3,0.3789474
286,mcl3,0.3578948
287,mcl3,0.3368421
288,mcl3,0.3105263
289,mcl3,0.2894737
290,mcl3,0.2578947
291,mcl3,0.2421053
292,mcl3,0.2210526
293,mcl3,0.2
294,mcl3,0.1842105
295,mcl3,0.1631579
296,mcl3,0.1473684
297,mcl3,0.131579
298,mcl3,0.1210526
299,mcl3,0.1157895
300,mcl3,0.1052632
301,mcl3,0.09473684
302,mcl3,0.08947369
303,mcl3,0.07894737
304,mcl3,0.07368421
305,mcl3,0.07368421
306,mcl3,0.06315789
307,mcl3,0.05789474
308,mcl3,0.05789474
309,mcl3,0.05789474
310,mcl3,0.05263158
311,mcl3,0.05263158
312,mcl3,0.05263158
313,mcl3,0.04736842
314,mcl3,0.04736842
315,mcl3,0.04736842
316,mcl3,0.04736842
317,mcl3,0.04210526
318,mcl3,0.04210526
319,mcl3,0.04210526
320,mcl3,0.04210526
321,mcl3,0.04210526
322,mcl3,0.04210526
323,mcl3,0.04210526
324,mcl3,0.04210526
325,mcl3,0.0368421
326,mcl3,0.0368421
327,mcl3,0.0368421
328,mcl3,0.0368421
329,mcl3,0.0368421
330,mcl3,0.03157895
331,mcl3,0.0368421
332,mcl3,0.0368421
333,mcl3,0.0368421
334,mcl3,0.0368421
335,mcl3,0.03157895
336,mcl3,0.0368421
337,mcl3,0.03157895
338,mcl3,0.03157895
339,mcl3,0.03157895
340,mcl3,0.03157895
341,mcl3,0.03157895
342,mcl3,0.03157895
343,mcl3,0.03157895
344,mcl3,0.03157895
345,mcl3,0.03157895
346,mcl3,0.03157895
347,mcl3,0.03157895
348,mcl3,0.03157895
349,mcl3,0.03157895
350,mcl3,0.03157895
351,mcl3,0.03157895
352,mcl3,0.03157895
353,mcl3,0.02631579
354,mcl3,0.03157895
355,mcl3,0.02631579
356,mcl3,0.02631579
357,mcl3,0.03157895
358,mcl3,0.03157895
359,mcl3,0.02631579
360,mcl3,0.03157895
361,mcl3,0.03157895
362,mcl3,0.03157895
363,mcl3,0.03157895
364,mcl3,0.03157895
365,mcl3,0.03157895
366,mcl3,0.03157895
367,mcl3,0.02631579
368,mcl3,0.02631579
369,mcl3,0.03157895
370,mcl3,0.03157895
371,mcl3,0.03157895
372,mcl3,0.03157895
373,mcl3,0.02631579
374,mcl3,0.03157895
375,mcl3,0.03157895
376,mcl3,0.03157895
